timestamp (seconds since 01/01/1970), system, entity , value (m/s)
1756381037.983243, lauv-fridtjof, 71, 1481.750000
1756381038.041618, lauv-fridtjof, 71, 1481.750000
1756381038.054377, lauv-fridtjof, 61, 1480.796387
1756381038.099998, lauv-fridtjof, 71, 1481.760010
1756381038.149918, lauv-fridtjof, 71, 1481.760010
1756381038.208280, lauv-fridtjof, 71, 1481.760010
1756381038.255119, lauv-fridtjof, 61, 1480.756104
1756381038.266561, lauv-fridtjof, 71, 1481.760010
1756381038.324951, lauv-fridtjof, 71, 1481.770020
1756381038.374985, lauv-fridtjof, 71, 1481.770020
1756381038.434056, lauv-fridtjof, 71, 1481.770020
1756381038.449896, lauv-fridtjof, 61, 1480.760010
1756381038.491598, lauv-fridtjof, 71, 1481.770020
1756381038.549876, lauv-fridtjof, 71, 1481.790039
1756381038.600600, lauv-fridtjof, 71, 1481.800049
1756381038.651322, lauv-fridtjof, 61, 1480.750122
1756381038.658240, lauv-fridtjof, 71, 1481.819946
1756381038.716965, lauv-fridtjof, 71, 1481.829956
1756381038.775116, lauv-fridtjof, 71, 1481.869995
1756381038.824909, lauv-fridtjof, 71, 1481.880005
1756381038.854370, lauv-fridtjof, 61, 1480.745728
1756381038.883235, lauv-fridtjof, 71, 1481.930054
1756381038.941576, lauv-fridtjof, 71, 1481.949951
1756381038.999941, lauv-fridtjof, 71, 1481.979980
1756381039.049886, lauv-fridtjof, 71, 1482.000000
1756381039.053339, lauv-fridtjof, 61, 1480.721558
1756381039.108341, lauv-fridtjof, 71, 1482.050049
1756381039.166615, lauv-fridtjof, 71, 1482.079956
1756381039.224934, lauv-fridtjof, 71, 1482.160034
1756381039.253387, lauv-fridtjof, 61, 1480.690918
1756381039.275017, lauv-fridtjof, 71, 1482.209961
1756381039.335126, lauv-fridtjof, 71, 1482.290039
1756381039.391651, lauv-fridtjof, 71, 1482.319946
1756381039.449893, lauv-fridtjof, 71, 1482.420044
1756381039.451824, lauv-fridtjof, 61, 1480.701660
1756381039.499963, lauv-fridtjof, 71, 1482.469971
1756381039.558455, lauv-fridtjof, 71, 1482.579956
