timestamp (seconds since 01/01/1970), system, entity , value (m)
1756381045.349773, lauv-fridtjof, 71, 2.029484
1756381045.408078, lauv-fridtjof, 71, 2.039433
1756381045.466426, lauv-fridtjof, 71, 2.039433
1756381045.524808, lauv-fridtjof, 71, 2.039433
1756381045.574790, lauv-fridtjof, 71, 2.039433
1756381045.633134, lauv-fridtjof, 71, 2.049381
1756381045.691465, lauv-fridtjof, 71, 2.059329
1756381045.749825, lauv-fridtjof, 71, 2.059329
1756381045.799843, lauv-fridtjof, 71, 2.059329
1756381045.858220, lauv-fridtjof, 71, 2.059329
1756381045.916449, lauv-fridtjof, 71, 2.059329
1756381045.974799, lauv-fridtjof, 71, 2.059329
1756381046.024754, lauv-fridtjof, 71, 2.069278
1756381046.083067, lauv-fridtjof, 71, 2.069278
1756381046.141433, lauv-fridtjof, 71, 2.069278
1756381046.199801, lauv-fridtjof, 71, 2.059329
1756381046.249774, lauv-fridtjof, 71, 2.059329
1756381046.308147, lauv-fridtjof, 71, 2.069278
1756381046.366423, lauv-fridtjof, 71, 2.049381
1756381046.424776, lauv-fridtjof, 71, 2.049381
1756381046.474841, lauv-fridtjof, 71, 2.049381
1756381046.533094, lauv-fridtjof, 71, 2.049381
1756381046.591538, lauv-fridtjof, 71, 2.049381
1756381046.649804, lauv-fridtjof, 71, 2.049381
1756381046.699870, lauv-fridtjof, 71, 2.039433
1756381046.758133, lauv-fridtjof, 71, 2.039433
1756381046.817490, lauv-fridtjof, 71, 2.029484
1756381046.875629, lauv-fridtjof, 71, 2.029484
1756381046.924774, lauv-fridtjof, 71, 2.019536
1756381046.983090, lauv-fridtjof, 71, 2.019536
1756381047.041443, lauv-fridtjof, 71, 2.019536
1756381047.099847, lauv-fridtjof, 71, 2.019536
1756381047.149788, lauv-fridtjof, 71, 2.009587
1756381047.208090, lauv-fridtjof, 71, 2.009587
1756381047.266769, lauv-fridtjof, 71, 1.999639
1756381047.324773, lauv-fridtjof, 71, 1.989690
1756381047.374804, lauv-fridtjof, 71, 1.989690
1756381047.433169, lauv-fridtjof, 71, 1.989690
1756381047.491515, lauv-fridtjof, 71, 1.969793
1756381047.549747, lauv-fridtjof, 71, 1.969793
1756381047.599816, lauv-fridtjof, 71, 1.969793
1756381047.658172, lauv-fridtjof, 71, 1.959845
1756381047.716421, lauv-fridtjof, 71, 1.949896
1756381047.774831, lauv-fridtjof, 71, 1.949896
1756381047.824797, lauv-fridtjof, 71, 1.939948
1756381047.883053, lauv-fridtjof, 71, 1.939948
1756381047.941427, lauv-fridtjof, 71, 1.939948
1756381047.999808, lauv-fridtjof, 71, 1.929999
1756381048.049938, lauv-fridtjof, 71, 1.929999
1756381048.108550, lauv-fridtjof, 71, 1.920051
1756381048.166420, lauv-fridtjof, 71, 1.910103
1756381048.224781, lauv-fridtjof, 71, 1.910103
1756381048.274836, lauv-fridtjof, 71, 1.900154
1756381048.333122, lauv-fridtjof, 71, 1.900154
1756381048.391488, lauv-fridtjof, 71, 1.900154
1756381048.449797, lauv-fridtjof, 71, 1.880257
1756381048.499798, lauv-fridtjof, 71, 1.880257
1756381048.558272, lauv-fridtjof, 71, 1.880257
1756381048.616504, lauv-fridtjof, 71, 1.880257
1756381048.674843, lauv-fridtjof, 71, 1.870309
1756381048.724870, lauv-fridtjof, 71, 1.870309
1756381048.783092, lauv-fridtjof, 71, 1.870309
1756381048.841478, lauv-fridtjof, 71, 1.870309
1756381048.899854, lauv-fridtjof, 71, 1.860360
1756381048.949764, lauv-fridtjof, 71, 1.860360
1756381049.008546, lauv-fridtjof, 71, 1.860360
1756381049.066558, lauv-fridtjof, 71, 1.850412
1756381049.124797, lauv-fridtjof, 71, 1.850412
1756381049.174850, lauv-fridtjof, 71, 1.850412
1756381049.233151, lauv-fridtjof, 71, 1.830515
1756381049.291494, lauv-fridtjof, 71, 1.830515
1756381049.349776, lauv-fridtjof, 71, 1.830515
1756381049.399827, lauv-fridtjof, 71, 1.830515
1756381049.458133, lauv-fridtjof, 71, 1.830515
1756381049.516504, lauv-fridtjof, 71, 1.830515
1756381049.574831, lauv-fridtjof, 71, 1.820567
1756381049.624781, lauv-fridtjof, 71, 1.820567
1756381049.683309, lauv-fridtjof, 71, 1.820567
1756381049.741471, lauv-fridtjof, 71, 1.820567
1756381049.800368, lauv-fridtjof, 71, 1.820567
1756381049.849869, lauv-fridtjof, 71, 1.820567
1756381049.908076, lauv-fridtjof, 71, 1.810618
1756381049.966462, lauv-fridtjof, 71, 1.810618
1756381050.024973, lauv-fridtjof, 71, 1.810618
1756381050.074904, lauv-fridtjof, 71, 1.810618
1756381050.133098, lauv-fridtjof, 71, 1.810618
1756381050.191503, lauv-fridtjof, 71, 1.800670
1756381050.249824, lauv-fridtjof, 71, 1.800670
1756381050.299887, lauv-fridtjof, 71, 1.800670
1756381050.358050, lauv-fridtjof, 71, 1.800670
1756381050.416423, lauv-fridtjof, 71, 1.800670
1756381050.474897, lauv-fridtjof, 71, 1.800670
1756381050.524780, lauv-fridtjof, 71, 1.800670
1756381050.583227, lauv-fridtjof, 71, 1.810618
1756381050.641478, lauv-fridtjof, 71, 1.800670
1756381050.699804, lauv-fridtjof, 71, 1.800670
1756381050.749778, lauv-fridtjof, 71, 1.800670
1756381050.808079, lauv-fridtjof, 71, 1.800670
1756381050.867013, lauv-fridtjof, 71, 1.800670
1756381050.924790, lauv-fridtjof, 71, 1.810618
1756381050.974812, lauv-fridtjof, 71, 1.810618
1756381051.033224, lauv-fridtjof, 71, 1.800670
1756381051.091473, lauv-fridtjof, 71, 1.800670
1756381051.149758, lauv-fridtjof, 71, 1.800670
1756381051.199855, lauv-fridtjof, 71, 1.820567
1756381051.258559, lauv-fridtjof, 71, 1.820567
1756381051.316539, lauv-fridtjof, 71, 1.810618
1756381051.374811, lauv-fridtjof, 71, 1.810618
1756381051.424794, lauv-fridtjof, 71, 1.810618
1756381051.483061, lauv-fridtjof, 71, 1.820567
1756381051.541429, lauv-fridtjof, 71, 1.820567
1756381051.599817, lauv-fridtjof, 71, 1.830515
1756381051.649818, lauv-fridtjof, 71, 1.830515
1756381051.708051, lauv-fridtjof, 71, 1.830515
1756381051.766472, lauv-fridtjof, 71, 1.830515
1756381051.824804, lauv-fridtjof, 71, 1.840463
1756381051.874805, lauv-fridtjof, 71, 1.840463
1756381051.933103, lauv-fridtjof, 71, 1.850412
1756381051.991543, lauv-fridtjof, 71, 1.850412
1756381052.049811, lauv-fridtjof, 71, 1.850412
1756381052.099859, lauv-fridtjof, 71, 1.850412
1756381052.158098, lauv-fridtjof, 71, 1.850412
1756381052.216575, lauv-fridtjof, 71, 1.850412
1756381052.274822, lauv-fridtjof, 71, 1.850412
1756381052.324796, lauv-fridtjof, 71, 1.860360
1756381052.383073, lauv-fridtjof, 71, 1.860360
1756381052.441481, lauv-fridtjof, 71, 1.860360
1756381052.499818, lauv-fridtjof, 71, 1.860360
1756381052.549785, lauv-fridtjof, 71, 1.870309
1756381052.608116, lauv-fridtjof, 71, 1.870309
1756381052.666511, lauv-fridtjof, 71, 1.870309
1756381052.724816, lauv-fridtjof, 71, 1.870309
1756381052.774814, lauv-fridtjof, 71, 1.870309
1756381052.833161, lauv-fridtjof, 71, 1.870309
1756381052.891489, lauv-fridtjof, 71, 1.880257
1756381052.949764, lauv-fridtjof, 71, 1.880257
1756381053.000470, lauv-fridtjof, 71, 1.890206
