timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1756381055.254934, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66538429, -0.01922724, -0.04809399
1756381055.455998, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67337811, -0.02433836, -0.05201346
1756381055.655999, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68118405, -0.02959928, -0.05051093
1756381055.855992, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68439829, -0.02616447, -0.05543245
1756381056.055174, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68123281, -0.01262775, -0.06757783
1756381056.258732, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67683935, -0.02151567, -0.05925993
1756381056.453748, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6649555, -0.02380762, -0.06382437
1756381056.656881, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66346145, -0.02125943, -0.0637769
1756381056.854315, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66564941, -0.02206963, -0.06956556
1756381057.053672, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67040694, -0.03289643, -0.07558615
1756381057.257025, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68284857, -0.05499271, -0.08946978
1756381057.452355, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6641736, -0.03218657, -0.08857644
1756381057.656844, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66531515, -0.03093186, -0.08252516
1756381057.852148, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67388582, -0.04020962, -0.07898707
1756381058.057055, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67734993, -0.04323414, -0.07398224
1756381058.253526, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66282296, -0.04842222, -0.07454927
1756381058.457298, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67217195, -0.04628578, -0.07400119
1756381058.652502, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67212296, -0.04764742, -0.07639593
1756381058.857025, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66203105, -0.04559973, -0.08063234
1756381059.054039, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67399657, -0.05852991, -0.08290143
1756381059.257053, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67182922, -0.04137206, -0.08519688
1756381059.456111, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65920877, -0.02967739, -0.0819793
1756381059.659633, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6625694, -0.04552415, -0.07544526
1756381059.854662, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65875196, -0.04642478, -0.07148372
1756381060.055321, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67458546, -0.04637942, -0.07394127
1756381060.255041, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66748643, -0.04866543, -0.08005089
1756381060.456078, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66728604, -0.07877514, -0.07715128
1756381060.653269, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66052532, -0.06557509, -0.07413622
1756381060.857506, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6547879, -0.05930334, -0.07817108
1756381061.053298, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66075015, -0.05962485, -0.07908367
1756381061.256654, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6394279, -0.05989471, -0.07945736
