timestamp (seconds since 01/01/1970), system, entity , type (bitfield), reason (enumerated), value (m/s), timestep (s)
1756381904.754482, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.913414, 0.100069
1756381904.885339, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.913422, 0.149943
1756381905.009119, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.913429, 0.100108
1756381905.137100, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.913433, 0.149878
1756381905.261834, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.913433, 0.100088
1756381906.903534, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.809055, 0.100055
1756381907.156285, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.892315, 0.100061
1756381907.284323, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.892342, 0.149980
1756381909.554326, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.824738, 0.100269
1756381920.479028, lauv-fridtjof, 49, WV, ABS_THRESHOLD_X, 32.768047, 0.000000
1756381920.609864, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103382, 0.100004
1756381920.731498, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103386, 0.149865
1756381920.855285, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103390, 0.100115
1756381920.990648, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103397, 0.149987
1756381921.113718, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103401, 0.100076
1756381921.240914, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103409, 0.149987
1756381921.367427, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103413, 0.149816
1756381921.491554, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103420, 0.100089
1756381921.620962, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103432, 0.149951
1756381921.744699, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103436, 0.100078
1756381921.875168, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103439, 0.149955
1756381922.003359, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103447, 0.100101
1756381922.125660, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103451, 0.149838
1756381922.251443, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103458, 0.100137
1756381922.380163, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103462, 0.149973
1756381922.512362, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 34.103466, 0.100049
1756381927.179095, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 32.885319, 0.149982
