timestamp (seconds since 01/01/1970), system, entity , utc_time (s), reason (enumerated)
1756381407.997470, lauv-fridtjof, 49, 42205.000000, INVALID
1756381408.995641, lauv-fridtjof, 49, 42206.000000, INVALID
1756381409.996798, lauv-fridtjof, 49, 42207.000000, INVALID
1756381410.996876, lauv-fridtjof, 49, 42208.000000, INVALID
1756381411.996063, lauv-fridtjof, 49, 42209.000000, INVALID
1756381413.006231, lauv-fridtjof, 49, 42210.000000, INVALID
1756381414.002403, lauv-fridtjof, 49, 42211.000000, INVALID
1756381414.996750, lauv-fridtjof, 49, 42212.000000, INVALID
1756381415.995654, lauv-fridtjof, 49, 42213.000000, INVALID
1756381416.994980, lauv-fridtjof, 49, 42214.000000, INVALID
1756381417.996911, lauv-fridtjof, 49, 42215.000000, INVALID
1756381419.003090, lauv-fridtjof, 49, 42216.000000, INVALID
1756381420.002237, lauv-fridtjof, 49, 42217.000000, INVALID
1756381420.995404, lauv-fridtjof, 49, 42218.000000, INVALID
1756381421.997671, lauv-fridtjof, 49, 42219.000000, INVALID
1756381422.994763, lauv-fridtjof, 49, 42220.000000, INVALID
1756381423.998822, lauv-fridtjof, 49, 42221.000000, INVALID
1756381425.000870, lauv-fridtjof, 49, 42222.000000, INVALID
1756381426.002132, lauv-fridtjof, 49, 42223.000000, INVALID
1756381426.998324, lauv-fridtjof, 49, 42224.000000, INVALID
1756381427.999329, lauv-fridtjof, 49, 42225.000000, INVALID
1756381429.003497, lauv-fridtjof, 49, 42226.000000, INVALID
1756381429.998744, lauv-fridtjof, 49, 42227.000000, INVALID
1756381430.997856, lauv-fridtjof, 49, 42228.000000, INVALID
1756381431.996089, lauv-fridtjof, 49, 42229.000000, INVALID
1756381432.994594, lauv-fridtjof, 49, 42230.000000, INVALID
1756381434.002310, lauv-fridtjof, 49, 42231.000000, INVALID
1756381435.002429, lauv-fridtjof, 49, 42232.000000, INVALID
1756381436.003655, lauv-fridtjof, 49, 42233.000000, INVALID
1756381436.997772, lauv-fridtjof, 49, 42234.000000, INVALID
1756381437.998291, lauv-fridtjof, 49, 42235.000000, INVALID
1756381439.003981, lauv-fridtjof, 49, 42236.000000, INVALID
1756381440.000601, lauv-fridtjof, 49, 42237.000000, INVALID
1756381440.998441, lauv-fridtjof, 49, 42238.000000, INVALID
1756381441.998819, lauv-fridtjof, 49, 42239.000000, INVALID
1756381443.005743, lauv-fridtjof, 49, 42240.000000, INVALID
1756381444.004783, lauv-fridtjof, 49, 42241.000000, INVALID
1756381444.995976, lauv-fridtjof, 49, 42242.000000, INVALID
1756381446.002047, lauv-fridtjof, 49, 42243.000000, INVALID
1756381446.997291, lauv-fridtjof, 49, 42244.000000, INVALID
1756381448.003308, lauv-fridtjof, 49, 42245.000000, INVALID
1756381449.001482, lauv-fridtjof, 49, 42246.000000, INVALID
1756381449.999678, lauv-fridtjof, 49, 42247.000000, INVALID
1756381450.998629, lauv-fridtjof, 49, 42248.000000, INVALID
1756381452.000974, lauv-fridtjof, 49, 42249.000000, INVALID
1756381452.998130, lauv-fridtjof, 49, 42250.000000, INVALID
1756381453.997295, lauv-fridtjof, 49, 42251.000000, INVALID
1756381454.995466, lauv-fridtjof, 49, 42252.000000, INVALID
1756381456.007477, lauv-fridtjof, 49, 42253.000000, INVALID
1756381457.004656, lauv-fridtjof, 49, 42254.000000, INVALID
1756381458.004821, lauv-fridtjof, 49, 42255.000000, INVALID
1756381458.998028, lauv-fridtjof, 49, 42256.000000, INVALID
1756381460.000338, lauv-fridtjof, 49, 42257.000000, INVALID
